time,sensor_good,humidity,temperature,spraying
1648004574.3740144,True,73.0,29.0,True
1648004579.3741589,True,73.0,29.0,True
1648004584.37435,True,73.0,29.0,True
1648004589.3745337,True,73.0,29.0,True
1648004594.3747227,True,73.0,29.0,True
1648004599.374864,True,87.0,29.0,False
1648004604.3750136,True,95.0,29.0,False
1648004609.3751516,True,87.0,29.0,False
1648004614.3752978,True,79.0,29.0,False
1648004619.3754365,True,76.0,29.0,False
1648004624.3756838,False,0.0,0.0,False
1648004629.3758962,True,74.0,29.0,False
1648004634.3760414,True,74.0,29.0,False
