time,sensor_good,humidity,temperature,spraying
1648004810.5420203,True,75.0,28.0,False
1648004815.5420246,True,75.0,28.0,False
1648004820.5420282,True,76.0,29.0,False
1648004825.5420325,True,76.0,29.0,False
1648004830.542036,False,0.0,0.0,False
1648004835.5420394,True,76.0,29.0,False
1648004840.542044,True,76.0,29.0,False
1648004845.5420477,True,76.0,29.0,False
1648004850.5420513,True,75.0,29.0,False
1648004855.542056,False,0.0,0.0,False
1648004860.5420601,True,75.0,29.0,False
1648004865.542065,True,75.0,29.0,False
1648004870.542069,True,74.0,29.0,False
1648004875.542073,True,75.0,29.0,False
1648004880.5420773,True,75.0,29.0,False
1648004885.5420809,True,75.0,29.0,False
1648004890.5420854,True,75.0,29.0,False
1648004895.5420897,True,74.0,29.0,False
1648004900.542094,True,74.0,29.0,False
1648004905.5420985,True,74.0,29.0,False
1648004910.5421028,True,75.0,29.0,False
1648004915.5421076,True,75.0,29.0,False
1648004920.5421114,False,0.0,0.0,False
1648004925.542116,False,0.0,0.0,False
1648004930.5421205,False,0.0,0.0,False
1648004935.5421255,True,75.0,29.0,False
1648004940.5421305,False,0.0,0.0,False
1648004945.542134,False,0.0,0.0,False
1648004950.5421402,False,0.0,0.0,False
1648004955.5421448,False,0.0,0.0,False
1648004960.5421486,True,75.0,29.0,False
1648004965.5421524,False,0.0,0.0,False
1648004970.5421567,False,0.0,0.0,False
1648004975.5421603,False,0.0,0.0,False
1648004980.5421653,True,75.0,29.0,False
1648004985.5421696,True,75.0,29.0,False
1648004990.5421736,True,76.0,29.0,False
1648004995.5421782,True,76.0,29.0,False
1648005000.5421817,True,76.0,29.0,False
1648005005.5421863,True,76.0,29.0,False
1648005010.5421908,True,76.0,29.0,False
1648005015.542195,True,76.0,29.0,False
1648005020.5421991,True,76.0,29.0,False
1648005025.5422037,True,75.0,28.0,False
1648005030.5422075,True,76.0,29.0,False
1648005035.5422113,True,76.0,29.0,False
1648005040.542215,True,75.0,28.0,False
1648005045.5422192,True,76.0,29.0,False
1648005050.542224,False,0.0,0.0,False
1648005055.5422282,True,75.0,28.0,False
1648005060.5422325,True,75.0,28.0,False
1648005065.5422366,True,75.0,28.0,False
1648005070.5422425,True,75.0,28.0,False
1648005075.5422468,True,75.0,28.0,False
1648005080.5422518,True,75.0,28.0,False
1648005085.542256,True,75.0,28.0,False
1648005090.5422597,True,75.0,28.0,False
1648005095.5422637,True,75.0,28.0,False
1648005100.5422685,True,76.0,28.0,False
1648005105.5422726,True,76.0,28.0,False
1648005110.5422766,True,75.0,28.0,False
1648005115.5422802,True,76.0,28.0,False
1648005120.5422845,True,76.0,28.0,False
1648005125.5422897,True,76.0,28.0,False
1648005130.542294,True,75.0,28.0,False
1648005135.5422976,True,75.0,28.0,False
1648005140.5423017,True,75.0,28.0,False
1648005145.5423064,True,75.0,28.0,False
1648005150.5423105,True,75.0,28.0,False
1648005155.542315,True,75.0,28.0,False
1648005160.5423188,True,75.0,28.0,False
1648005165.5423224,True,75.0,28.0,False
1648005170.5423274,False,0.0,0.0,False
1648005175.5423312,False,0.0,0.0,False
1648005180.542335,True,75.0,28.0,False
1648005185.5423384,False,0.0,0.0,False
1648005190.5423427,True,75.0,28.0,False
1648005195.5423467,False,0.0,0.0,False
1648005200.5423503,True,75.0,28.0,False
1648005205.5423543,True,75.0,28.0,False
1648005210.5423594,True,75.0,28.0,False
1648005215.5423636,True,75.0,28.0,False
1648005220.5423675,True,75.0,28.0,False
1648005225.5423725,True,75.0,28.0,False
1648005230.5423772,True,75.0,28.0,False
1648005235.542382,True,75.0,28.0,False
1648005240.5423868,True,75.0,28.0,False
1648005245.5423908,True,75.0,28.0,False
1648005250.5423949,True,75.0,28.0,False
1648005255.542399,True,75.0,28.0,False
1648005260.5424037,False,0.0,0.0,False
1648005265.5424068,True,75.0,28.0,False
1648005270.5424113,True,75.0,28.0,False
1648005275.5424154,True,75.0,28.0,False
1648005280.54242,True,75.0,28.0,False
1648005285.5424242,True,75.0,28.0,False
1648005290.5424292,False,0.0,0.0,False
1648005295.5424328,True,75.0,28.0,False
1648005300.5424364,True,75.0,28.0,False
1648005305.5424404,False,0.0,0.0,False
1648005310.5424447,False,0.0,0.0,False
1648005315.542449,False,0.0,0.0,False
1648005320.542453,False,0.0,0.0,False
1648005325.542457,True,75.0,28.0,False
1648005330.5424612,True,75.0,28.0,False
1648005335.5424664,True,75.0,28.0,False
1648005340.5424712,False,0.0,0.0,False
1648005345.5424752,True,75.0,28.0,False
1648005350.5424802,False,0.0,0.0,False
1648005355.5424843,True,75.0,28.0,False
1648005360.5424888,True,75.0,28.0,False
1648005365.5424922,True,75.0,28.0,False
1648005370.5424962,True,75.0,28.0,False
1648005375.5425,True,75.0,28.0,False
1648005380.5425045,True,75.0,28.0,False
1648005385.5425081,True,75.0,28.0,False
1648005390.5425117,True,75.0,28.0,False
1648005395.5425167,True,75.0,28.0,False
1648005400.5425217,False,0.0,0.0,False
1648005405.542526,True,75.0,28.0,False
1648005410.5425305,True,75.0,28.0,False
1648005415.5425348,True,75.0,28.0,False
1648005420.54254,True,75.0,28.0,False
1648005425.5425434,False,0.0,0.0,False
1648005430.5425482,True,75.0,28.0,False
1648005435.5425518,True,75.0,28.0,False
1648005440.5425565,False,0.0,0.0,False
