time,sensor_good,humidity,temperature,spraying
1648004139.0469398,True,95.0,30.0,False
1648004144.0471258,True,89.0,29.0,False
1648004149.047267,True,89.0,29.0,False
1648004154.0474508,True,86.0,29.0,False
1648004159.0476346,True,86.0,29.0,False
1648004164.047775,True,86.0,29.0,False
1648004169.0479124,True,89.0,29.0,False
1648004174.0480506,True,73.0,29.0,False
1648004179.0481923,True,73.0,29.0,False
1648004184.0483332,True,73.0,29.0,False
1648004189.0484748,True,73.0,29.0,False
1648004194.0486147,True,73.0,29.0,False
1648004199.048755,True,73.0,29.0,False
