time,sensor_good,humidity,temperature,spraying
1648004028.0417309,True,75.0,27.0,False
1648004033.0418746,False,0.0,0.0,False
1648004038.0420158,False,0.0,0.0,False
1648004043.0430965,False,0.0,0.0,False
1648004048.0441504,False,0.0,0.0,False
1648004053.0442922,False,0.0,0.0,False
1648004058.0444312,False,0.0,0.0,False
1648004063.0446167,False,0.0,0.0,False
1648004068.044757,False,0.0,0.0,False
1648004073.0449393,False,0.0,0.0,False
1648004078.0451226,True,95.0,29.0,False
1648004083.0452633,True,95.0,29.0,False
1648004088.0454018,True,95.0,29.0,False
