time,sensor_good,humidity,temperature,spraying
1648004354.7138996,False,0.0,0.0,False
1648004359.7140489,True,74.0,29.0,False
1648004364.7142017,True,73.0,29.0,False
1648004369.7144082,True,73.0,29.0,False
1648004374.714611,True,74.0,29.0,False
1648004379.7148187,True,73.0,29.0,False
1648004384.7150187,True,73.0,29.0,False
1648004389.7152166,True,73.0,29.0,False
1648004394.71542,True,73.0,29.0,False
1648004399.7156322,True,73.0,29.0,False
1648004404.715843,True,74.0,29.0,False
1648004409.7160492,False,0.0,0.0,False
1648004414.716243,True,73.0,29.0,False
